BENCHMARK,Original_iteration_1,Original_iteration_2,Original_iteration_3,Original_iteration_4,Original_iteration_5,Original_iteration_6,Original_iteration_7,Original_iteration_8,Original_iteration_9,Original_iteration_10,Original_iteration_11,Original_iteration_12,Original_iteration_13,Original_iteration_14,Original_iteration_15,Original_iteration_16,Original_iteration_17,Original_iteration_18,Original_iteration_19,Original_iteration_20,Original_iteration_21,Original_iteration_22,Original_iteration_23,Original_iteration_24,Original_iteration_25,Original_iteration_26,Original_iteration_27,Original_iteration_28,Original_iteration_29,Original_iteration_30,Mutant_iteration_1,Mutant_iteration_2,Mutant_iteration_3,Mutant_iteration_4,Mutant_iteration_5,Mutant_iteration_6,Mutant_iteration_7,Mutant_iteration_8,Mutant_iteration_9,Mutant_iteration_10,Mutant_iteration_11,Mutant_iteration_12,Mutant_iteration_13,Mutant_iteration_14,Mutant_iteration_15,Mutant_iteration_16,Mutant_iteration_17,Mutant_iteration_18,Mutant_iteration_19,Mutant_iteration_20,Mutant_iteration_21,Mutant_iteration_22,Mutant_iteration_23,Mutant_iteration_24,Mutant_iteration_25,Mutant_iteration_26,Mutant_iteration_27,Mutant_iteration_28,Mutant_iteration_29,Mutant_iteration_30,Lower_CI_original,Upper_CI_original,Lower_CI_mutant,Upper_CI_mutant,Lower_RCI,Upper_RCI
org.eclipse.collections.impl.bag.immutable.ImmutableEmptyBagTest.collectDoubleWithBagTarget,918079.154,885885.968,912353.212,907673.207,906002.756,900551.231,893728.238,894407.615,898515.169,915739.507,906318.317,914381.15,909072.964,920074.736,923122.59,917469.489,901035.419,897035.237,890668.177,879886.526,892142.802,901091.422,888857.654,876525.63,894714.388,905917.086,898791.096,905350.221,910747.336,896612.372,868552.544,859208.162,861960.025,870238.616,870069.146,862598.011,874022.266,872102.291,880458.011,878918.856,886666.674,899748.74,885961.547,869766.493,862631.954,871458.461,846724.248,852265.957,879369.525,860265.372,873208.592,879546.837,885674.793,894561.701,866507.21,874930.599,865189.325,868423.267,859497.414,866304.156,897143.3,908396.9,866576.4,878078,0.965742,0.9664775
org.eclipse.collections.impl.bag.immutable.ImmutableEmptyBagTest.collectTarget,135296.097,133220.863,139233.218,136042.077,138024.142,134974.875,135271.83,137803.067,137068.72,136920.6,138252.128,138456.463,136365.24,137914.584,140084.741,137214.166,136589.198,140189.351,135761.73,137471.196,138227.545,137015.282,135910.25,138949.505,137029.573,136278.166,138633.557,138734.578,138616.254,139838.36,137458.878,134653.54,138413.636,139767.45,137189.19,138658.745,137737.698,137565.027,136887.808,138202.2,136457.832,140303.02,135255.416,133538.529,138734.797,127960.325,123015.93,122949.123,122435.45,123088.684,124419.36,127298.774,135953.604,135360.865,139093.978,137802.698,137584.44,138449.596,136141.956,136294.187,136590.9,138055.1,130762.7,136238.7,0.9573778,0.9868385
org.eclipse.collections.impl.bag.immutable.ImmutableEmptyBagTest.flatCollectFloat,446084.479,441669.044,449363.282,449397.882,445976.012,449792.847,447487.85,449020.2,448184.669,451998.508,448680.852,450130.128,447166.341,450002.825,446741.036,453466.382,452105.755,456207.754,454393.254,452643.279,457291.025,451021.794,453230.138,456535.069,451362.825,453068.704,451550.419,454193.168,456625.698,452140.558,425473.561,426489.033,436255.589,437917.156,448323.552,438774.718,435654.661,447051.98,423136.181,432296.515,438025.207,445077.77,432377.293,434818.597,422860.427,430911.406,438243.162,445291.269,446871.856,453624.477,453069.316,454169.895,454749.139,457533.147,453540.322,450289.701,454630.547,455753.48,458524.745,457755.909,449059.1,452297.8,435929.7,445885.9,0.9707633,0.9858236
org.eclipse.collections.impl.bag.immutable.ImmutableEmptyBagTest.removeAll,349305.398,349161.612,360813.447,360416.2,362634.761,358745.364,358667.716,359799.63,359074.948,361656.934,359660.596,360757.997,360370.521,369205.879,362653.866,364149.059,365717.557,366542.818,368266.814,361789.759,365745.638,364821.767,364568.15,365537.04,361661.636,360001.309,362224.397,359529.352,360571.076,359499.921,346865.18,338834.171,356268.467,350068.514,347470.51,353640.755,349438.227,348831.022,350644.006,349170.296,347034.411,348347.529,357097.715,347834.532,351314.838,352361.837,355580.416,352962.128,348723.701,350562.122,349099.581,352975.299,346811.13,355328.094,354661.938,357447.996,353839.665,345588.295,349752.515,352972.802,359633.8,363747.9,348775.8,352382.1,0.9687413,0.9697303
org.eclipse.collections.impl.bag.immutable.ImmutableHashBagTest.clear,288310.9,283495.939,284867.143,286061.352,292140.488,286913.749,292964.62,308772.511,295473.509,290630.935,290683.004,293258.007,299621.888,286485.868,284691.097,292644.713,292499.354,297036.568,298571.317,310866.619,306652.247,306367.79,318076.198,309962.216,305761.645,314345.218,311796.274,315354.674,311900.548,314142.286,277975.915,277689.898,286248.499,283076.695,286842.713,280658.185,285522.091,289596.83,288554.93,291514.802,294172.237,290774.645,295404.922,288895.011,290771.418,288913.217,291323.562,290916.49,287737.396,289488.75,288843.636,289018.858,290124.561,289073.023,287346.248,290273.161,290807.533,289679.768,290814.572,289054.85,292647.6,301968.8,286559.3,290313,0.9614997,0.9792054
org.eclipse.collections.impl.bag.immutable.ImmutableHashBagTest.collectCharWithTarget,426446.157,419271.763,441435.452,432598.105,443739.945,433698.431,432704.53,443452.898,438518.261,437052.104,446074.211,430748.44,415202.753,420536.992,437661.394,435698.212,430455.913,443557.427,439267.422,440623.357,442263.434,448173.112,441692.565,442300.352,444323.656,442164.204,439746.013,442875.079,442535.397,438163.357,399870.359,391578.455,406373.033,408646.394,409958.984,404713.876,405523.274,407894.861,403532.733,405446.208,405994.191,404267.019,411360.077,405420.013,401855.39,403233.149,399786.202,407248.173,400437.636,393328.719,408614.136,404648.187,403694.792,403037.85,402929.781,403764.584,401421.192,406173.946,393227.135,405559.224,431843.5,439834.8,401632.9,405789.9,0.92261,0.9301671
org.eclipse.collections.impl.bag.immutable.ImmutableHashBagTest.collectDoubleWithBagTarget,926964.705,934936.887,928798.337,936890.893,957970.253,919727.822,922180.167,929121.934,895373.747,903461.222,908402.108,927691.321,922548.038,917849.815,925482.737,942266.287,890820.844,878381.619,856537.27,865144.951,870304.587,887297.699,891480.381,898601.941,878029.732,890082.225,901068.835,920637.545,885852.118,884277.728,902372.063,891603.588,915206.936,908858.229,888206.183,890385.234,897507.378,915779.424,912750.173,911760.816,924060.133,907506.06,926105.489,922655.887,912395.633,910746.956,916269.336,897284.515,900834.252,924231.885,914713.838,911253.519,895705.319,935163.639,921909.247,937230.993,931555.602,932700.834,931930.441,912828.642,896131.3,919206.5,906300.8,917802.1,0.998496,1.011442
org.eclipse.collections.impl.bag.immutable.ImmutableHashBagTest.collectTarget,116462.798,116605.369,117856.916,119384.014,121553.272,119959.785,118465.345,121404.572,121150.043,121527.699,120903.469,118769.02,119093.904,118689.578,119938.402,119786.122,119895.149,121166.657,121596.489,120696.62,120678.014,121298.377,121369.918,120807.813,121622.606,119615.247,120049.919,121868.715,120494.57,120242.807,128514.114,127036.432,129682.762,128278.49,129414.77,124792.078,119298.423,119327.33,117090.318,119185.403,117316.941,123271.316,129109.269,127735.479,127654.113,130246.349,130088.849,127569.475,128464.863,129285.294,128953.092,129560.01,128949.094,127522.386,129081.425,128704.819,129899.009,128103.474,128628.223,129607.76,119366.2,120649.8,124291.1,128139.3,1.041259,1.062101
org.eclipse.collections.impl.bag.immutable.ImmutableHashBagTest.detectWithOccurrences,632135.513,631616.659,640861.126,620920.468,634136.799,626278.354,627209.458,639689.851,644044.759,640326.228,632046.142,647131.771,646235.592,635327.553,633190.305,642767.541,639439.314,635824.632,640299.797,624066.897,636249.704,638898.076,640633.896,635457.974,647646.99,634281.174,645495.247,656656.893,640394.306,629708.146,639058.126,612600.976,642143.147,624990.196,639201.031,642031.682,656433.357,644005.26,636888.496,646010.094,661022.27,657768.209,647735.264,636768.566,651840.29,636397.27,642507.887,634193.059,634361.683,641276.527,666766.096,650846.788,648534.432,657490.971,645576.019,665249.237,669702.694,648624.728,632250.889,612938.472,633690,640398.9,638666.9,650129.3,1.007887,1.01521
org.eclipse.collections.impl.bag.immutable.ImmutableHashBagTest.empty,2664713.41,2594150.87,2621962.69,2687705.77,2676508.59,2668792.9,2648777.35,2681655.7,2671836.14,2675128.15,2674789.47,2640225.06,2633185.25,2645085.81,2590686.63,2582100.6,2683561.95,2610760.39,2688021.27,2695833.77,2716279.25,2666060.26,2642731.47,2681081.55,2667263.13,2652412.68,2672725.05,2607827.83,2646687.02,2681386.91,2329151.16,2343900.16,2354367.45,2343404.41,2448529.99,2397278.26,2362299.82,2241083.33,2031642.82,1892668.37,1925329.86,1907711.47,1799064.16,1775491.37,2079651.57,2366493.46,2443327.88,2418777.87,2447535.93,2426060.77,2497978.97,2483878.9,2465405.44,2468015.79,2459948.34,2440204.4,2495963.02,2485045.69,2490177.22,2469629.19,2638099,2670207,2146991,2366132,0.81384,0.8861143
org.eclipse.collections.impl.bag.immutable.ImmutableHashBagTest.flatCollectFloat,490233.784,472402.672,492344.522,490128.791,494286.517,492423.432,479712.626,479984.485,488211.092,489509.438,493200.246,492763.78,489087.405,491111.035,493367.173,490256.516,493029.488,491903.28,489276.04,493455.842,490695.201,476892.22,492068.066,491007.491,495317.645,497599.027,493953.39,495084.753,493512.073,495110.625,487554.805,476465.539,493554.829,490579.725,494248.771,490148.373,487665.88,493614.732,490870.624,495821.166,462642.184,463720.479,487089.233,480080.164,493501.826,482166.523,488991.12,481477.133,489185.283,490008.169,487797.835,492343.127,492109.445,481214.005,492560.469,490531.764,490755.041,494297.39,492126.836,493686.155,487090.2,492079,482132.1,490090,0.9898429,0.9959474
org.eclipse.collections.impl.bag.immutable.ImmutableHashBagTest.rejectWithToTarget,548545.099,540270.379,555080.078,537438.917,535998.309,531811.373,537363.909,544335.458,534354.56,539309.77,548912.386,549024.693,533078.01,557338.334,552553.751,538148.775,542367.625,547073.961,542763.686,541957.888,538913.069,547674.549,547484.095,547597.627,538085.096,564557.967,566527.671,568560.039,571449.873,565573.941,544371.412,529723.387,553169.04,536932.383,553496.905,552657.439,548845.269,552550.843,552579.107,548407.206,544203.797,551881.8,546831.72,552401.098,553201.615,550716.999,551545.049,551719.787,551879.334,553945.924,545384.893,556953.929,551887.438,547293.043,553903.918,549874.262,546661.667,553705.514,545687.889,552295.764,541037.8,549640.1,546784.1,551734.4,1.003821,1.0106
org.eclipse.collections.impl.bag.immutable.ImmutableHashBagTest.zipWithIndex,73428.1395,70633.6533,75723.7828,76327.5249,73862.3893,73003.1933,74486.1589,73128.9424,74289.05,74665.5643,73769.0197,74168.7371,73288.0571,76883.0634,75516.0703,73747.1583,72166.3953,74933.8448,73021.9842,75752.0813,74395.4476,73956.7283,74569.988,74755.7352,75317.4116,74451.1355,72932.2606,73785.5752,75991.3215,76062.9095,73073.1516,71655.3201,72427.466,71820.8068,75248.6856,68515.2455,74603.0193,73645.737,73321.3738,74510.7695,73777.011,73643.8352,73525.3124,73435.5965,72701.9248,73135.3336,72708.824,72566.628,73472.4119,73883.6836,74464.3004,73839.5656,73697.1876,74453.9167,73562.2296,73106.4898,73862.1253,74886.0764,72782.1584,72958.1151,73609.83,74844.04,72665.98,73794.31,0.9858679,0.9874889
org.eclipse.collections.impl.bag.immutable.ImmutableSingletonBagTest.clear,339511.817,345261.477,356032.819,354752.206,355588.73,354942.798,355622.251,358087.526,360644.296,358532.691,360008.801,358983.199,357182.196,358821.792,362696.706,359829.386,357141.404,357651.489,351773.48,350766.033,357737.491,353096.233,355761.992,355389.032,357576.838,355649.906,351578.508,355663.089,358444.816,360146.055,386098.171,385797.469,396129.598,397966.951,393414.629,387350.018,399594.942,395085.527,394484.828,387341.02,387603.528,387275.426,395248.98,399118.209,393839.629,399747.527,402601.04,401906.729,395978.716,398008.579,397790.446,396169.807,399069.815,398400.575,394867.834,398799.25,403071.197,394372.419,398929.077,397556.799,353647,357975.7,392714,397493.9,1.109783,1.110665
org.eclipse.collections.impl.bag.immutable.ImmutableSingletonBagTest.collectDoubleWithBagTarget,839013.74,807540.86,837172.923,861401.961,871347.335,862733.303,852531.458,877006.705,866298.252,848379.372,860521.46,860195.916,831592.004,851544.707,833584.789,855298.971,846287.39,850498.724,833513.482,840746.159,851912.529,853744.487,830753.707,851336.265,833776.214,845525.71,846058.759,830321.504,829760.821,830420.831,804586.248,778528.866,821849.715,823740.874,789576.952,812172.988,826530.392,818185.899,817304.534,826689.616,803576.505,812015.465,819567.087,814902.608,798274.398,807591.399,828211.038,831093.877,825133.986,818426.272,830666.941,808840.581,810551.313,813533.415,816428.068,817940.136,812644.591,809962.33,814888.074,809580.402,840860.7,854497.3,808726.3,819890.1,0.9595093,0.961784
org.eclipse.collections.impl.bag.immutable.ImmutableSingletonBagTest.collectTarget,129687.612,126896.618,130656.732,126181.257,130193.01,130177.552,129403.195,131815.101,129038.569,131295.794,131712.508,130388.628,130878.576,131322.281,131321.832,131772.395,131628.164,130991.211,130351.178,130313.309,130925.565,132013.041,132224.83,131118.893,131660.403,132455.976,131746.455,130984.7,132133.331,131522.219,135146.248,136197.693,139310.78,130625.484,139499.132,138262.836,140267.15,140040.781,140043.938,140254.03,139863.67,141090.288,136013.347,140648.865,138502.214,142320.162,140415.442,141025.142,139814.335,139744.397,140804.728,140531.744,139808.302,139144.684,139744.32,139683.003,139953.433,140009.691,139302.888,136595.619,130009.7,131284.9,138163.9,140184,1.062754,1.067832
org.eclipse.collections.impl.bag.immutable.ImmutableSingletonBagTest.detectWithOptional,402207.525,392178.334,399954.58,399987.475,400216.958,397630.491,402612.293,398995.252,399164,398644.251,400441.543,402088.798,406987.261,402439.18,404160.014,403267.66,402293.878,400692.757,402043.166,399874.197,403452.191,401079.471,398447.117,400733.129,399848.076,402529.96,400109.247,402018.117,405440.521,406176.143,394291.089,390749.033,397492.365,406859.777,404994.484,403231.587,408359.11,408662.759,407402.091,408087.043,407672.677,404211.505,405893.62,403705.923,400394.743,407511.018,401347.924,397504.145,405664.846,411168.18,415402.219,415503.028,411869.41,416236.982,414332.694,413671.222,412312.985,410941.783,413916.72,411486.446,399866.5,402396.4,403353.9,408879.4,1.00871,1.016169
org.eclipse.collections.impl.bag.immutable.ImmutableSingletonBagTest.empty,2503937.4,2509963.54,2583416.07,2588859.04,2567326.82,2583133.92,2586887.63,2521077.96,2549967.35,2546824.97,2562360.2,2555699.73,2593575.69,2549222.34,2571556.27,2550041.12,2528414.37,2590928.36,2533671.41,2420555.42,2573729.66,2535036.68,2569520.59,2572079.4,2593149.57,2579850.65,2566550.69,2564648.08,2578209.94,2583181.33,2589793.54,2526662.3,2522761.97,2564546.25,2560085.98,2507888.77,2427411.99,2555387.11,2503260.73,2495406.25,2550383.07,2557286.43,2514172.95,2471495.09,2527020.99,2596329.74,2548431.23,2553901.66,2542032.91,2584725.72,2589685.48,2552452.77,2584823.73,2542738.47,2575789.85,2601835.36,2565775.79,2590295.8,2598899.03,2562251.88,2535443,2569037,2525659,2561624,0.9954911,0.997092
org.eclipse.collections.impl.bag.immutable.ImmutableSingletonBagTest.flatCollectFloat,484559.888,472974.644,493556.827,489838.551,487701.764,487739.831,487255.7,487698.222,492252.21,492455.807,490301.701,492953.641,488556.182,483967.651,474791.935,492314.962,482909.939,486404.231,489941.595,491485.18,491245.983,484325.024,486338.465,494106.951,490327.404,490595.446,489572.855,488789.82,488300.083,487094.754,451624.544,446089.075,460168.22,455689.213,458771.765,457001.404,457807.015,456740.368,424964.814,449629.701,453357.6,448801.931,441008.001,409408.319,431196.246,410654.419,431014.007,434867.122,452438.687,454873.405,450267.539,456540.37,458096.766,452844.39,454674.35,451448.22,452507.085,443901.49,455641.065,453437.806,485286.2,490039.8,437468.1,451372,0.9014641,0.9210903
org.eclipse.collections.impl.bag.immutable.ImmutableSingletonBagTest.injectIntoInt,675176.148,667981.777,677408.656,680020.354,682581.445,678738.227,677195.721,679701.843,680927.657,680695.658,677787.474,681805.498,680259.188,682945.963,682814.793,678785.826,678794.279,672728.854,677753.258,647331.093,666850.077,682542.905,678495.529,677733.857,680698.256,682171.155,678644.548,681768.159,679149.627,676898.063,656383.921,641952.206,663170.755,660349.07,659331.121,656918.543,657088.903,657514.184,664459.437,665581.474,663798.051,668729.511,661005.385,658039.945,663192.698,661558.919,659471.049,634087.866,654759.684,624077.169,669082.551,663536.65,654336.417,657330.956,660064.575,655810.88,658743.826,657421.829,650645.086,655002.902,673494.5,680046.7,652206.8,661267.9,0.9683895,0.9723832
org.eclipse.collections.impl.bag.mutable.HashBagTest.addAllIterable,639772.832,628485.08,645044.626,635170.201,645974.65,639714.255,667062.326,645616.144,659284.008,654180.309,659696.541,649867.65,660426.607,656727.353,662963.169,641650.736,653131.828,648496.436,667742.566,674617.457,676310.818,678953.847,682399.661,681332.975,687726.765,682344.565,677492.23,681809.006,687730.882,679956.91,642053.802,635600.79,657963.588,653425.561,645987.519,655056.957,651845.674,654284.933,646518.488,661077.75,653619.111,665881.082,655425.042,655558.35,657610.586,650977.105,649502.59,656125.062,657279.801,650986.486,658346.936,662885.842,660212.501,656458.805,665212.763,662670.553,655690.422,654768.26,657521.295,660896.649,651914.2,666462.3,651686.3,657573.2,0.9866867,0.9997525
org.eclipse.collections.impl.bag.mutable.HashBagTest.addOccurrences,247812.406,243851.029,241695.741,250139.585,255309.005,257499.543,255709.358,254404.987,252909.222,254276.784,252474.178,255816.186,257018.535,254239.436,253044.75,257556.225,257415.486,256749.91,255088.719,255183.531,254823.283,254710.322,239382.421,247151.113,243080.526,239149.327,241238.621,237254.564,254036.249,257722.752,257442.428,255365.869,264271.09,253909.199,261373.662,261579.918,260805.9,258383.395,261306.823,263951.818,263304.16,263004.369,264056.904,259780.753,262170.394,263013.398,261945.687,256721.905,259876.868,262103.188,260796.847,262193.313,261611.766,260880.297,265196.483,264615.897,264753.185,261362.823,263576.216,260906.771,249267.6,254677,259907.9,262402.6,1.030324,1.042686
org.eclipse.collections.impl.bag.mutable.HashBagTest.bottomOccurrences,92474.9962,87849.8937,91565.5724,90337.7607,89786.3197,89826.1539,89318.5712,91664.183,91766.6887,91872.1825,90896.3438,91903.3244,90192.34,92051.1696,90176.3428,91343.8808,92256.684,92306.713,92395.9056,91513.2227,93138.675,91786.8973,91328.5747,91208.6271,90792.1631,91171.6492,91379.3587,91371.226,92324.3184,91030.8115,71067.6593,68769.8753,72614.5345,74698.1394,77128.6903,73444.6129,73513.9866,75822.7305,74017.5413,73316.9882,75821.4043,73151.7269,73992.235,72455.0386,71890.5172,75615.2215,76241.3132,76458.3741,77207.1797,76472.2309,77008.2593,77933.4133,76712.519,76638.7354,77364.6356,78385.133,78169.4953,78261.1204,79233.7431,78433.2459,90718.3,91730.67,73914.13,76095.11,0.8147422,0.8295387
org.eclipse.collections.impl.bag.mutable.HashBagTest.collectTarget,147050.241,144707.321,147311.945,150715.841,149107.504,145184.412,147582.414,148992.888,146181.653,146334.319,143379.056,146539.59,147202.741,149341.509,147685.122,147331.846,147299.436,146864.047,145349.627,147492.482,147340.171,143611.122,147871.76,145285.702,145396.252,148206.866,146218.945,146289.322,144511.11,146613.076,146343.903,144921.975,145767.613,147246.382,148153.092,149298.578,144718.442,148956.049,146537.577,147928.836,149497.036,148367.865,146545.147,149179.497,148337.842,150546.289,149581.086,145951.308,146717.113,146266.443,146960.862,145840.453,148794.943,145656.947,146473.221,147682.957,149138.861,148518.205,148673.64,149281.89,146089.1,147616.9,146853.6,148335.6,1.004756,1.005302
org.eclipse.collections.impl.bag.mutable.HashBagTest.count,2828109.94,3012150.83,2946655.2,3044424.3,3058487.02,3039567.7,3041318.72,3055866.79,3074889.53,3085351.42,3089999.94,3078713.39,3019064.55,3057120.9,3101796.98,3078783.98,3061037.62,3035190.2,3054274.27,3026124.49,3034258.13,3043381.16,3040145.25,3062108.89,2965475.23,3058023.44,3057588.1,3045893.61,3079297.89,3047732.33,2978316.38,2923574.58,3015344.35,2959779.73,3005156.6,3001870.67,2978091.27,3002649.78,3015669.96,3018271.21,3026102.76,2981748.08,3012997.51,3017005.18,2973212.4,2952866.74,2958322.95,2966476.35,2847296.42,2826084.11,2936419.66,2988513.91,2918299.52,3012785.1,3001521.64,2991351.32,3000510.27,3021380.09,3027221.83,3016390.75,3015649,3062161,2949148,2996360,0.9774735,0.978552
org.eclipse.collections.impl.bag.mutable.HashBagTest.forEachWith,1576671.44,1520096.06,1589894.22,1584420.68,1576230.66,1564832.36,1592182.38,1556326.45,1551057.26,1542805.24,1588223.37,1594913.32,1598028.18,1581932.95,1582230.61,1596080.33,1576922.68,1587300.89,1572991.37,1547183.6,1557358.69,1607569.12,1576721.61,1577553.87,1610018.03,1588158.16,1610057.02,1586496.64,1572246.41,1602559.29,1530975.82,1557954.93,1565703.82,1597145.85,1576809.66,1568196.25,1546777.95,1562786.56,1572648.3,1551802.23,1542858.79,1561176.64,1549273.27,1566765.79,1565864.82,1578706.62,1566008.94,1563964.58,1597116.79,1598234.88,1575312.06,1592773.43,1578282.16,1600690.13,1580012.74,1566348.4,1607352.36,1587442.62,1569383.13,1587714.38,1567551,1586884,1562026,1578459,0.9947507,0.9964216
org.eclipse.collections.impl.bag.mutable.HashBagTest.noneSatisfy,1192756.7,1177838.94,1189844.4,1212835,1198114.37,1207842.93,1216916.52,1211908.87,1198462.51,1215630.34,1207631.11,1216641.53,1156240.72,1198361.97,1205200.11,1211207.39,1206937.58,1218237.37,1198000.43,1216945.69,1207835.65,1212111.93,1206036.23,1211377.05,1206711.7,1186453.92,1216833.28,1213500.68,1205449.05,1212934.5,1123789.39,1094347.17,1130280.58,1114672.16,1133572.87,1103899.4,1132099.52,1139366.22,1136296.81,1142965.89,1112802.32,1139678.95,1116499.32,1131737.59,1125987.25,1145808.4,1134696.79,1131064.34,1137502.31,1137521.2,1144071.41,1150582.03,1143805.19,1139014.17,1133284.37,1142414.41,1142966.19,1105046.69,1120459.94,1094198.34,1196567,1209850,1123906,1136486,0.9389705,0.939447
org.eclipse.collections.impl.bag.mutable.HashBagTest.rejectWith,777370.252,730983.914,761840.532,760304.033,761191.719,748675.45,745775.021,756586.296,759504.375,760569.298,769958.697,794620.988,770735.03,756012.728,759530.094,764304.87,745223.691,734090.441,739474.058,755244.738,757092.363,763201.973,769276.223,790223.532,792908.365,786285.846,793934.019,787722.986,791745.221,788054.278,734956.73,724535.815,748785.72,741396.951,742990.349,736515.007,739986.69,744671.339,750247.64,735696.114,763507.506,753402.046,735420.869,753424.7,759484.727,749453.007,748850.503,738645.255,760676.781,752461.232,750957.047,759723.499,753052.42,757053.719,743171.346,749671.007,760375.176,740724.387,742212.311,734074.033,754906.6,770741.8,743025.5,751888.1,0.9755607,0.9842517
org.eclipse.collections.impl.bag.mutable.HashBagTest.retainAll,273387.46,273615.928,281490.147,273320.142,271401.323,267815.546,269876.954,270723.853,276681.766,272105.499,270401.248,270230.609,270275.555,263895.405,269696.634,281301.498,285722.827,283194.082,285406.811,285207.47,287241.977,275552.418,273681.318,277457.94,277308.674,273154.055,279894.334,277155.452,283575.744,285554.574,260178.178,256572.165,261298.209,265150.469,265312.835,262303.28,269896.069,274013.983,264905.32,262623.381,252133.956,257921.091,260334.121,264480.237,264998.368,252165.794,254690.288,261799.373,276086.396,277179.081,275049.068,277523.924,277492.612,281722.548,275377.229,276369.536,275749.059,279588.075,277360.922,280610,272792.5,278680.4,262259.6,270333.1,0.9614109,0.9699615
org.eclipse.collections.impl.bag.mutable.MultiReaderHashBagAsReadUntouchableTest.with,196720.116,191633.729,195895.089,194438.107,195741.967,195271.926,197026.55,197394.769,198618.32,198470.392,198729.963,199589.244,198507.227,199281.628,198109.186,196821.147,200986.794,201018.748,197461.034,199537.515,201269.003,198297.07,198278.869,197635.693,199296.207,198239.439,199857.033,197988.58,200546.743,199211.832,191473.842,185107.932,191139.841,190498.038,190352.594,190649.417,189590.88,187971.353,191035.645,190673.447,190787.226,190820.3,188913.138,191646.818,189765.255,188585.957,190097.951,190476.365,187454.803,189061.599,188330.951,187076.92,185001.885,190929.933,189375.468,187848.807,188600.419,189940.749,190055.286,189748.198,197029.2,198959.9,188638.3,190226.8,0.9561009,0.9574033
org.eclipse.collections.impl.bag.mutable.MultiReaderHashBagAsUnmodifiableTest.with,198548.878,194949.329,210731.241,205147.705,203970.317,196641.503,197830.019,196119.657,199852.063,197556.231,205836.655,197525.039,201245.064,202282.736,217981.863,219076.263,220406.158,218566.173,216374.354,217459.006,219131.019,219153.06,220393.622,218837.024,213003.842,216121.485,213451.12,217009.483,218061.935,218291.15,215444.744,217083.843,215183.506,218108.864,215467.485,216968.033,214676.881,218022.468,218845.025,218477.708,218003.718,217787.807,217262.177,215830.627,218704.303,219167.066,217048.343,217084.148,217188.855,215513.012,215223.179,217620.273,215169.853,217014.124,212412.245,218497.521,216139.602,214054.577,215425.602,217576.726,204630.7,213377.5,216162.8,217553.9,1.019564,1.056377
org.eclipse.collections.impl.bag.mutable.MultiReaderHashBagAsWriteUntouchableTest.asSynchronized,372071.135,363610.16,370448.979,369457.21,377917.536,373131.683,373762.821,376748.935,377233.363,373524.179,378916.965,370124.205,377577.776,369153.984,369348.405,370826.337,367114.283,363840.628,371236.059,373133.662,371793.633,370745.96,368807.436,359817.105,360650.518,378135.276,368723.62,369743.975,375031.886,369482.02,351581.541,354473.411,341456.13,367735.206,363573.811,359497.185,362439.914,352609.956,351994.758,351609.847,359321.8,346476.98,352987.03,342538.773,289303.647,274987.436,298301.184,277281.327,307017.235,314592.008,352007.09,371929.307,373264.696,369312.664,378424.017,368991.472,372116.323,369929.033,368487.513,372151.576,369015.5,373417.9,325725.8,355168.7,0.8826886,0.9511295
org.eclipse.collections.impl.bag.mutable.MultiReaderHashBagAsWriteUntouchableTest.collectBoolean,2384707.63,2330211.79,2260477.69,2387359.56,2442491.65,2397917.19,2409957.8,2436356.78,2413839.74,2430543.11,2437615.59,2421466.63,2347270.08,2382933.26,2415918.29,2384622.3,2379419.13,2435858.62,2424019.23,2376434.34,2404618.46,2381590.22,2410053.65,2433463.44,2411986.61,2422951.26,2431791.73,2446805.55,2451725.42,2381088.63,2333237.7,2277667.69,2310791.83,2298505.91,2309762.07,2325193.79,2324057.1,2343274.1,2401152.66,2370028.12,2325350.52,2350567.67,2346949.94,2174016.66,2298281.57,2314808.33,2287291.21,2317826.89,2362909.14,2337107.17,2365886.15,2356109.13,2349823.08,2391219.57,2363084.72,2371654.5,2304992.63,2296504.36,2384978.2,2374164.55,2380476,2416229,2304599,2348255,0.9679798,0.9718214
org.eclipse.collections.impl.bag.mutable.MultiReaderHashBagAsWriteUntouchableTest.collectTarget,129581.337,131934.297,131771.819,135758.061,133036.588,134266.975,137866.3,136457.055,135833.106,136890.177,130966.939,129905.127,129211.297,135235.326,137152.106,136173.079,137789.669,134126.067,135807.093,134950.291,134103.134,135535.877,135841.4,137426.912,135416.866,136188.92,133917.381,135767.15,135728.463,134423.655,126427.376,120906.244,127564.734,126870.593,129113.545,123700.373,123391.322,125053.402,126094.795,126553.036,128664.896,126918.987,127919.63,128044.377,130360.671,128694.86,129369.659,128918.152,130009.616,128772.33,130711.109,128799.401,127610.315,127474.202,126190.811,127468.437,125843.646,126825.923,129643.657,128702.741,133284.2,135666.1,126454.9,128430.7,0.9467682,0.9486986
